visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
100001,97.5,3,2,3,1,Cat1,none,www.site1.com
100002,17.99,2,2,4,2,Cat2,none,www.site1.com
100003,34.98,1,1,2,1,Cat20,none,www.site1.com
100004,39.99,1,1,2,1,Cat3,Type1,www.site2.com
100005,43.52,2,1,2,1,Cat4,Type1,www.site3.com
100006,51.72,2,2,5,3,Cat5,Type2,www.site2.com
100007,53.43,6,6,7,1,Cat6,none,www.site1.com
100008,9.53,1,1,2,1,Cat3,Type1,www.site2.com
100009,231.2,12,3,4,1,Cat4,Type1,www.site3.com
100010,95.04,8,4,6,2,Cat7,none,www.site1.com
100011,479.0,1,1,2,1,Cat8,none,www.site1.com
100012,77.98,2,2,4,2,Cat9,none,www.site1.com
100013,18.22,1,1,2,1,none,none,www.site1.com
100014,296.59,14,12,13,1,Cat3,Type1,www.site2.com
100015,53.47,2,2,3,1,Cat10,none,www.site1.com
100016,98.3,4,4,5,1,Cat4,Type2,www.site2.com
100017,56.14,4,4,8,4,Cat11,none,www.site1.com
100018,89.02,3,2,3,1,Cat12,none,www.site1.com
100019,385.86,8,4,6,2,Cat13,Type3,www.site2.com
100020,69.59,10,10,11,1,Cat14,none,www.site1.com
100021,79.73,10,10,11,1,Cat15,none,www.site1.com
100022,870.26,19,19,22,3,Cat16,none,www.site1.com
100023,99.97,1,1,2,1,Cat17,none,www.site1.com
100024,9.85,1,1,2,1,Cat18,none,www.site1.com
100025,49.52,1,1,2,1,Cat17,none,www.site1.com
100026,576.89,28,20,22,2,Cat1,none,www.site1.com
100027,56.88,2,1,2,1,Cat19,Type1,www.site4.com
100028,97.18,3,2,3,1,none,none,www.site1.com
100029,55.36,4,4,5,1,Cat21,none,www.site1.com
100030,195.28,12,6,10,4,Cat22,Type2,www.site2.com
100031,182.34,12,8,12,4,Cat23,none,www.site1.com
100032,52.88,3,3,4,1,Cat3,Type1,www.site2.com
100033,5.0,1,1,2,1,Cat18,none,www.site1.com
100034,35.0,1,1,2,1,Cat24,none,www.site1.com
100035,158.0,2,2,4,2,Cat13,Type3,www.site2.com
100036,54.72,2,2,3,1,Cat24,none,www.site1.com
100037,79.76,6,6,7,1,Cat10,none,www.site1.com
100038,298.22,20,12,13,1,Cat25,none,www.site1.com
100039,39.99,1,1,2,1,Cat10,none,www.site1.com
100040,5.86,1,1,2,1,Cat5,Type1,www.site2.com
100041,52.46,4,4,5,1,none,none,www.site1.com
100042,196.96,8,6,7,1,Cat26,Type2,www.site5.com
100043,5.54,1,1,2,1,Cat3,Type1,www.site2.com
100044,156.89,5,5,7,2,Cat27,none,www.site1.com
100045,169.99,1,1,2,1,Cat29,none,www.site1.com
100046,36.45,2,2,3,1,Cat10,none,www.site1.com
100047,31.99,1,1,2,1,none,none,www.site1.com
100048,10.45,1,1,2,1,Cat30,none,www.site1.com
100049,24.93,2,2,3,1,Cat3,Type1,www.site2.com
100050,135.14,10,9,11,2,Cat21,none,www.site1.com
100051,15.0,1,1,2,1,Cat8,none,www.site1.com
100052,48.88,1,1,2,1,Cat4,Type1,www.site2.com
100053,126.21,3,2,3,1,none,none,www.site1.com
100054,34.31,1,1,2,1,Cat3,Type1,www.site2.com
100055,116.26,6,6,7,1,Cat31,none,www.site1.com
100056,91.14,12,12,13,1,none,none,www.site1.com
100057,159.4,14,12,14,2,Cat26,Type1,www.site5.com
100058,7.0,1,1,2,1,Cat19,Type2,www.site4.com
100059,11.23,2,2,4,2,Cat3,Type2,www.site2.com
100060,49.52,1,1,2,1,Cat17,none,www.site1.com
100061,63.42,8,7,8,1,Cat3,Type1,www.site2.com
100062,56.99,1,1,3,2,Cat1,none,www.site1.com
100063,39.0,1,1,3,2,Cat17,none,www.site1.com
100064,19.27,2,2,3,1,Cat3,Type1,www.site2.com
100065,305.69,2,2,3,1,Cat16,none,www.site1.com
100066,271.72,29,27,28,1,Cat32,none,www.site1.com
100067,3.19,1,1,2,1,Cat17,none,www.site1.com
100068,84.99,1,1,2,1,Cat33,none,www.site1.com
100069,135.99,2,2,3,1,Cat20,none,www.site1.com
100070,51.98,2,2,3,1,Cat3,Type1,www.site2.com
100071,20.24,2,2,3,1,Cat31,none,www.site1.com
100072,116.52,6,5,7,2,none,none,www.site1.com
100073,71.52,2,1,2,1,Cat14,none,www.site1.com
100074,254.33,6,5,7,2,none,none,www.site1.com
100075,58.88,4,4,5,1,Cat3,Type1,www.site2.com
100076,552.23,25,22,23,1,Cat12,none,www.site1.com
100077,85.5,4,4,6,2,Cat18,none,www.site1.com
100078,123.88,2,2,3,1,Cat20,none,www.site1.com
100079,78.26,5,4,5,1,Cat26,Type1,www.site5.com
100080,52.71,9,9,10,1,Cat34,none,www.site1.com
100081,85.47,8,4,6,2,Cat35,Type1,www.site10.com
100082,163.68,2,2,3,1,Cat30,none,www.site1.com
100083,70.77,3,3,5,2,Cat36,Type12,www.site7.com
100084,317.3,50,48,60,12,Cat26,Type1,www.site5.com
100085,43.69,2,2,3,1,none,none,www.site1.com
100086,46.85,1,1,2,1,Cat37,none,www.site1.com
100087,241.1,13,9,10,1,none,none,www.site1.com
100088,538.92,6,1,2,1,Cat19,Type1,www.site4.com
100089,22.74,2,2,3,1,Cat3,Type1,www.site2.com
100090,39.44,1,1,2,1,Cat32,none,www.site1.com
100091,272.65,12,5,7,2,Cat20,none,www.site1.com
100092,149.0,1,1,2,1,Cat3,Type1,www.site2.com
100093,52.06,5,5,6,1,Cat3,Type1,www.site2.com
100094,135.94,2,2,4,2,Cat25,none,www.site1.com
100095,34.95,1,1,2,1,Cat38,none,www.site1.com
100096,35.28,4,3,4,1,none,none,www.site1.com
100097,53.49,7,7,8,1,Cat23,none,www.site1.com
100098,33.96,2,2,3,1,none,none,www.site1.com
100099,78.0,1,1,2,1,Cat27,none,www.site1.com
100100,80.05,8,6,7,1,Cat45,Type1,www.site5.com
100101,153.99,2,2,4,2,Cat19,Type2,www.site4.com
100102,152.44,10,8,9,1,Cat3,Type1,www.site2.com
100103,19.77,1,1,2,1,Cat14,none,www.site1.com
100104,69.93,3,1,2,1,Cat3,Type1,www.site2.com
100105,366.42,8,8,9,1,Cat2,none,www.site1.com
