visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
100001,97.5,3,2,3,1,Cat1,none,www.site1.com
100002,17.99,2,2,4,2,Cat2,none,www.site1.com
100003,34.98,1,1,2,1,Cat20,none,www.site1.com
100004,39.99,1,1,2,1,Cat3,Type1,www.site2.com
100005,43.52,2,1,2,1,Cat4,Type1,www.site3.com
100006,51.72,2,2,5,3,Cat5,Type2,www.site2.com
100007,53.43,6,6,7,1,Cat6,none,www.site1.com
100008,9.53,1,1,2,1,Cat3,Type1,www.site2.com
100009,231.2,12,3,4,1,Cat4,Type1,www.site3.com
100010,95.04,8,4,6,2,Cat7,none,www.site1.com
100011,479.0,1,1,2,1,Cat8,none,www.site1.com
100012,77.98,2,2,4,2,Cat9,none,www.site1.com
100013,18.22,1,1,2,1,none,none,www.site1.com
100014,296.59,14,12,13,1,Cat3,Type1,www.site2.com
100015,53.47,2,2,3,1,Cat10,none,www.site1.com
100016,98.3,4,4,5,1,Cat4,Type2,www.site2.com
100017,56.14,4,4,8,4,Cat11,none,www.site1.com
100018,89.02,3,2,3,1,Cat12,none,www.site1.com
100019,385.86,8,4,6,2,Cat13,Type3,www.site2.com
100020,69.59,10,10,11,1,Cat14,none,www.site1.com
100021,79.73,10,10,11,1,Cat15,none,www.site1.com
100022,870.26,19,19,22,3,Cat16,none,www.site1.com
100023,99.97,1,1,2,1,Cat17,none,www.site1.com
100024,9.85,1,1,2,1,Cat18,none,www.site1.com
100025,49.52,1,1,2,1,Cat17,none,www.site1.com
100026,576.89,28,20,22,2,Cat1,none,www.site1.com
100027,56.88,2,1,2,1,Cat19,Type1,www.site4.com
100028,97.18,3,2,3,1,none,none,www.site1.com
100029,55.36,4,4,5,1,Cat21,none,www.site1.com
100030,195.28,12,6,10,4,Cat22,Type2,www.site2.com
100031,182.34,12,8,12,4,Cat23,none,www.site1.com
100032,52.88,3,3,4,1,Cat3,Type1,www.site2.com
100033,5.0,1,1,2,1,Cat18,none,www.site1.com
100034,35.0,1,1,2,1,Cat24,none,www.site1.com
100035,158.0,2,2,4,2,Cat13,Type3,www.site2.com
100036,54.72,2,2,3,1,Cat24,none,www.site1.com
100037,79.76,6,6,7,1,Cat10,none,www.site1.com
100038,298.22,20,12,13,1,Cat25,none,www.site1.com
100039,39.99,1,1,2,1,Cat10,none,www.site1.com
